id,holder_name,status,land_area_acres,latitude,longitude,village,district,state
TG_HYD_004,Lopa Gond,PENDING,0.7,17.4442,78.5113,Village_460,Hyderabad,Telangana
TG_HYD_005,Meena Lambada,APPROVED,1.6,17.2991,78.4669,Village_358,Hyderabad,Telangana
TG_HYD_006,Manoj Lambada,APPROVED,2.7,17.4147,78.5059,Village_620,Hyderabad,Telangana
TG_HYD_007,Raghu Lambada,APPROVED,0.7,17.3981,78.4929,Village_562,Hyderabad,Telangana
TG_HYD_008,Lakshmi Koya,PENDING,0.8,17.3684,78.4323,Village_211,Hyderabad,Telangana
TG_HYD_009,Sanjay Munda,APPROVED,1.6,17.4302,78.5138,Village_611,Hyderabad,Telangana
TG_HYD_010,Sita Singh,APPROVED,0.5,17.3502,78.4601,Village_400,Hyderabad,Telangana
TG_HYD_011,Rinku Nayak,APPROVED,2.5,17.3965,78.4325,Village_686,Hyderabad,Telangana
TG_HYD_012,Mallaiah Lambada,APPROVED,2.5,17.389,78.4149,Village_320,Hyderabad,Telangana
TG_HYD_013,Mohan Kharia,APPROVED,0.5,17.3917,78.4019,Village_202,Hyderabad,Telangana
TG_HYD_014,Amar Sahariya,APPROVED,1.4,17.4224,78.4541,Village_370,Hyderabad,Telangana
TG_HYD_015,Pinki Oraon,APPROVED,1.8,17.4626,78.504,Village_334,Hyderabad,Telangana
TG_HYD_016,Rakhi Korku,APPROVED,0.5,17.4478,78.5174,Village_284,Hyderabad,Telangana
TG_HYD_017,Pothuraju Kondh,APPROVED,1.9,17.4236,78.4946,Village_731,Hyderabad,Telangana
TG_HYD_018,Shyam Kharia,APPROVED,0.7,17.4326,78.4335,Village_218,Hyderabad,Telangana
TG_HYD_019,Reang Sahariya,APPROVED,2.8,17.376,78.405,Village_367,Hyderabad,Telangana
TG_HYD_020,Durga Baiga,PENDING,1.4,17.3494,78.4608,Village_258,Hyderabad,Telangana
TG_JAG_001,Kamini Nayak,APPROVED,1.6,18.8405,78.6793,Village_195,Jagitial,Telangana
TG_JAG_002,Amar Oraon,APPROVED,2.5,18.6982,78.9898,Village_755,Jagitial,Telangana
TG_JAG_003,Durga Nayak,APPROVED,0.5,18.7991,78.8759,Village_521,Jagitial,Telangana
TG_JAG_004,Raghu Korku,APPROVED,2.1,18.8369,78.8945,Village_750,Jagitial,Telangana
TG_JAG_005,Santosh Santhal,PENDING,2.0,18.6637,78.8516,Village_791,Jagitial,Telangana
TG_JAG_006,Ramesh Majhi,PENDING,2.9,18.8706,78.6695,Village_759,Jagitial,Telangana
TG_JAG_007,Shyam Oraon,APPROVED,2.2,18.8514,78.9199,Village_396,Jagitial,Telangana
TG_JAG_008,Roshan Kharia,PENDING,0.6,19.0284,78.8587,Village_601,Jagitial,Telangana
TG_JAG_009,Lali Meena,PENDING,2.2,18.8076,79.1191,Village_717,Jagitial,Telangana
TG_JAG_010,Anji Birhor,PENDING,1.0,18.676,78.7068,Village_824,Jagitial,Telangana
TG_JAG_011,Rakesh Pradhan,APPROVED,1.0,18.7399,78.9475,Village_284,Jagitial,Telangana
TG_JAG_012,Rinku Meena,APPROVED,2.7,18.7414,79.0174,Village_506,Jagitial,Telangana
TG_JAG_013,Devi Kondh,APPROVED,2.7,18.9533,79.0563,Village_812,Jagitial,Telangana
TG_JAG_014,Radhika Ekka,PENDING,1.8,18.7504,78.6222,Village_614,Jagitial,Telangana
TG_JAN_001,Raghu Sahariya,APPROVED,1.7,17.8683,79.066,Village_545,Jangoan,Telangana
TG_JAN_002,Sumita Oraon,PENDING,2.1,17.781,79.3878,Village_518,Jangoan,Telangana
TG_JAN_003,Rupali Baiga,PENDING,2.2,17.8101,79.1914,Village_333,Jangoan,Telangana
TG_JAN_004,Gita Birhor,APPROVED,1.7,17.8372,79.437,Village_973,Jangoan,Telangana
TG_JAN_005,Ajay Singh,PENDING,1.0,17.6014,79.3589,Village_217,Jangoan,Telangana
TG_JAN_006,Sarita Kharia,APPROVED,2.3,17.7182,79.1009,Village_627,Jangoan,Telangana
TG_JAN_007,Manisha Ho,PENDING,0.5,17.8566,79.4656,Village_926,Jangoan,Telangana
TG_JAN_008,Mallesh Bai,APPROVED,1.2,17.9737,79.2429,Village_269,Jangoan,Telangana
TG_JAN_009,Ramkali Koya,PENDING,2.4,17.7879,79.2328,Village_169,Jangoan,Telangana
TG_JAN_010,Subhash Koya,PENDING,2.3,17.9329,79.2196,Village_121,Jangoan,Telangana
TG_JAN_011,Pushpa Gond,APPROVED,1.2,17.559,79.2264,Village_306,Jangoan,Telangana
TG_JAN_012,Sarla Koya,PENDING,2.9,17.8193,79.0436,Village_763,Jangoan,Telangana
TG_JAN_013,Ajay Gond,PENDING,2.2,17.9299,79.2776,Village_111,Jangoan,Telangana
TG_JAN_014,Radhika Meena,APPROVED,2.7,17.6487,79.5082,Village_448,Jangoan,Telangana
TG_JAN_015,Amar Majhi,PENDING,2.5,17.9025,79.1867,Village_760,Jangoan,Telangana
TG_JAN_016,Veera Nayak,APPROVED,1.8,17.6123,79.4315,Village_591,Jangoan,Telangana
TG_JAN_017,Sumita Korku,PENDING,0.9,17.7564,79.0036,Village_126,Jangoan,Telangana
TG_JAN_018,Pratap Meena,APPROVED,1.7,17.6927,79.3143,Village_398,Jangoan,Telangana
TG_MUL_001,Debu Debbarma,APPROVED,2.8,18.2932,80.3995,Village_510,Mulugu,Telangana
TG_MUL_002,Harish Birhor,PENDING,2.5,18.4601,80.4769,Village_928,Mulugu,Telangana
TG_MUL_003,Devi Singh,PENDING,0.5,18.1908,80.4578,Village_423,Mulugu,Telangana
TG_MUL_004,Devraj Santhal,APPROVED,2.2,18.4028,80.6635,Village_964,Mulugu,Telangana
TG_MUL_005,Kamini Majhi,APPROVED,1.2,18.3945,80.0299,Village_555,Mulugu,Telangana
TG_MUL_006,Arjun Koya,PENDING,2.7,18.5143,80.3031,Village_264,Mulugu,Telangana
TG_MUL_007,Subal Kondh,APPROVED,1.8,18.4621,80.3288,Village_164,Mulugu,Telangana
TG_MUL_008,Guddu Koya,APPROVED,2.6,18.3848,80.4968,Village_709,Mulugu,Telangana
TG_MUL_009,Anitha Oraon,PENDING,1.9,18.099,80.3276,Village_871,Mulugu,Telangana
TG_MUL_010,Lali Meena,PENDING,2.4,18.2565,80.1207,Village_450,Mulugu,Telangana
TG_MUL_011,Chotu Oraon,APPROVED,2.4,18.1842,80.299,Village_715,Mulugu,Telangana
TG_MUL_012,Laxman Oraon,APPROVED,2.6,18.3612,80.0462,Village_213,Mulugu,Telangana
TG_MUL_013,Arjun Baiga,PENDING,1.7,18.4618,80.3807,Village_321,Mulugu,Telangana
TG_MUL_014,Debu Munda,APPROVED,0.6,18.4874,80.6101,Village_632,Mulugu,Telangana
TG_MUL_015,Sabita Sahariya,APPROVED,1.0,18.2202,80.6009,Village_867,Mulugu,Telangana
TG_MUL_016,Rita Nayak,PENDING,2.7,18.2673,80.4632,Village_988,Mulugu,Telangana
TG_JOG_001,Debu Bhil,PENDING,1.2,16.2616,77.5247,Village_307,Jogulamba Gadwal,Telangana
TG_JOG_002,Meera Meena,PENDING,0.7,16.0838,77.5105,Village_585,Jogulamba Gadwal,Telangana
TG_JOG_003,Savitri Debbarma,APPROVED,1.6,16.142,77.912,Village_645,Jogulamba Gadwal,Telangana
TG_JOG_004,Ajay Pradhan,PENDING,0.8,16.2667,77.6385,Village_546,Jogulamba Gadwal,Telangana
TG_JOG_005,Kumari Majhi,APPROVED,1.1,16.1389,77.9038,Village_180,Jogulamba Gadwal,Telangana
TG_JOG_006,Ramkali Majhi,PENDING,2.8,16.1935,77.9102,Village_134,Jogulamba Gadwal,Telangana
TG_JOG_007,Lukra Kondh,APPROVED,1.2,15.9197,77.6907,Village_464,Jogulamba Gadwal,Telangana
TG_JOG_008,Meera Koya,PENDING,1.6,16.026,78.0408,Village_687,Jogulamba Gadwal,Telangana
TG_JOG_009,Ramkali Baiga,APPROVED,2.7,16.2756,77.5745,Village_831,Jogulamba Gadwal,Telangana
TG_JOG_010,Rita Meena,APPROVED,1.3,16.0202,77.7719,Village_564,Jogulamba Gadwal,Telangana
TG_JOG_011,Lopa Pradhan,PENDING,1.1,16.0111,77.7069,Village_335,Jogulamba Gadwal,Telangana
TG_JOG_012,Rupali Nayak,APPROVED,1.9,16.1668,77.7637,Village_304,Jogulamba Gadwal,Telangana
TG_JOG_013,Manoj Birhor,PENDING,2.3,16.2601,77.5138,Village_679,Jogulamba Gadwal,Telangana
TG_JOG_014,Chotu Ekka,APPROVED,1.0,16.0491,77.5883,Village_174,Jogulamba Gadwal,Telangana
TG_JOG_015,Lali Lambada,APPROVED,0.9,16.0165,77.7227,Village_552,Jogulamba Gadwal,Telangana
TG_JOG_016,Rinku Kondh,APPROVED,1.7,16.0521,77.6048,Village_791,Jogulamba Gadwal,Telangana
TG_JOG_017,Krishna Singh,APPROVED,1.2,15.9143,78.0183,Village_228,Jogulamba Gadwal,Telangana
TG_JOG_018,Sabita Gond,PENDING,2.6,16.2469,77.5802,Village_145,Jogulamba Gadwal,Telangana
TG_JOG_019,Chotu Kondh,PENDING,0.6,16.115,77.9171,Village_250,Jogulamba Gadwal,Telangana
TG_JOG_020,Linga Koya,APPROVED,2.1,16.1998,77.5049,Village_740,Jogulamba Gadwal,Telangana
TG_KAM_001,Kalia Pradhan,PENDING,1.4,18.4185,77.6417,Village_997,Kamareddy,Telangana
TG_KAM_002,Reang Debbarma,APPROVED,1.1,18.192,78.0789,Village_286,Kamareddy,Telangana
TG_KAM_003,Devraj Bai,APPROVED,0.6,18.21,77.9062,Village_955,Kamareddy,Telangana
TG_KAM_004,Narayan Lambada,APPROVED,0.9,18.2454,77.7905,Village_707,Kamareddy,Telangana
TG_KAM_005,Shanti Munda,APPROVED,2.1,18.3277,78.3375,Village_900,Kamareddy,Telangana
TG_KAM_006,Amar Kondh,PENDING,2.5,18.3045,77.6924,Village_820,Kamareddy,Telangana
TG_KAM_007,Savitri Meena,APPROVED,1.5,18.3263,78.0171,Village_315,Kamareddy,Telangana
TG_KAM_008,Ramesh Majhi,PENDING,2.6,18.349,77.9235,Village_314,Kamareddy,Telangana
TG_KAM_009,Sanjay Majhi,APPROVED,0.9,18.2333,78.0283,Village_598,Kamareddy,Telangana
TG_KAM_010,Sunitha Majhi,APPROVED,2.0,18.2851,78.3027,Village_424,Kamareddy,Telangana
TG_KAM_011,Raghu Gond,APPROVED,0.7,18.4316,77.756,Village_715,Kamareddy,Telangana
TG_KAM_012,Pratap Meena,APPROVED,2.9,18.2698,77.8264,Village_753,Kamareddy,Telangana
TG_KAM_013,Rakhi Bhil,APPROVED,0.7,18.4304,77.9949,Village_444,Kamareddy,Telangana
TG_KAR_001,Saroja Sahariya,APPROVED,1.0,18.3186,79.3463,Village_438,Karimnagar,Telangana
TG_KAR_002,Krishna Baiga,PENDING,2.6,18.4635,79.2078,Village_551,Karimnagar,Telangana
TG_KAR_003,Rinku Singh,APPROVED,1.4,18.5434,79.083,Village_710,Karimnagar,Telangana
TG_KAR_004,Saroja Birhor,APPROVED,1.3,18.3423,79.2079,Village_802,Karimnagar,Telangana
TG_KAR_005,Lakshmi Pradhan,APPROVED,2.9,18.1816,79.3162,Village_751,Karimnagar,Telangana
TG_KAR_006,Pratap Baiga,PENDING,2.1,18.3964,79.5156,Village_361,Karimnagar,Telangana
TG_KAR_007,Raghu Koya,APPROVED,0.5,18.437,79.2784,Village_362,Karimnagar,Telangana
TG_KAR_008,Soma Ho,PENDING,2.0,18.3572,79.3357,Village_132,Karimnagar,Telangana
TG_KAR_009,Harish Santhal,APPROVED,0.9,18.5328,79.0085,Village_799,Karimnagar,Telangana
TG_KAR_010,Arjun Munda,APPROVED,0.6,18.656,79.0572,Village_882,Karimnagar,Telangana
TG_KAR_011,Kamini Nayak,PENDING,2.3,18.3714,79.3733,Village_656,Karimnagar,Telangana
TG_KAR_012,Biru Naik,APPROVED,2.3,18.609,78.9728,Village_281,Karimnagar,Telangana
TG_KAR_013,Meera Bai,PENDING,0.8,18.484,79.0856,Village_680,Karimnagar,Telangana
TG_KHA_001,Babulal Munda,APPROVED,2.8,17.2973,80.418,Village_637,Khammam,Telangana
TG_KHA_002,Meena Santhal,APPROVED,0.5,17.3199,80.8587,Village_807,Khammam,Telangana
TG_KHA_003,Sunil Kondh,APPROVED,1.9,16.8929,80.4052,Village_614,Khammam,Telangana
TG_KHA_004,Nita Kharia,PENDING,0.5,17.3945,80.3153,Village_994,Khammam,Telangana
TG_KHA_005,Rakhi Kondh,PENDING,1.4,17.1564,80.3262,Village_443,Khammam,Telangana
TG_KHA_006,Ramkali Baiga,APPROVED,0.6,17.2929,80.2853,Village_705,Khammam,Telangana
TG_KHA_007,Santosh Ekka,PENDING,1.0,17.0878,80.701,Village_774,Khammam,Telangana
TG_KHA_008,Narayan Santhal,PENDING,1.8,17.2903,80.3645,Village_518,Khammam,Telangana
TG_KHA_009,Laxman Debbarma,PENDING,2.1,17.3421,80.1284,Village_585,Khammam,Telangana
TG_KHA_010,Lukra Sahariya,APPROVED,2.0,17.1485,80.7854,Village_924,Khammam,Telangana
TG_KHA_011,Gita Kondh,PENDING,2.2,17.193,80.8243,Village_663,Khammam,Telangana
TG_KHA_012,Lopa Kharia,PENDING,1.5,17.2422,80.3655,Village_921,Khammam,Telangana
TG_KHA_013,Gita Birhor,APPROVED,0.9,17.4712,80.3081,Village_988,Khammam,Telangana
TG_KUM_001,Saroja Debbarma,PENDING,1.6,19.5518,79.2802,Village_320,Kumuram Bheem Asifabad,Telangana
TG_KUM_002,Kishore Nayak,PENDING,2.2,19.1715,79.2295,Village_492,Kumuram Bheem Asifabad,Telangana
TG_KUM_003,Sarita Kondh,PENDING,0.8,19.3263,79.739,Village_178,Kumuram Bheem Asifabad,Telangana
TG_KUM_004,Radhika Korku,PENDING,0.6,19.417,79.881,Village_254,Kumuram Bheem Asifabad,Telangana
TG_KUM_005,Guddu Oraon,PENDING,0.9,19.289,79.38,Village_978,Kumuram Bheem Asifabad,Telangana
TG_KUM_006,Linga Baiga,APPROVED,2.3,19.3957,79.585,Village_649,Kumuram Bheem Asifabad,Telangana
TG_KUM_007,Santosh Singh,APPROVED,1.8,19.5069,79.0767,Village_280,Kumuram Bheem Asifabad,Telangana
TG_KUM_008,Subhash Oraon,PENDING,2.7,19.3972,79.113,Village_674,Kumuram Bheem Asifabad,Telangana
TG_KUM_009,Sanjay Kondh,PENDING,2.0,19.5801,79.6855,Village_337,Kumuram Bheem Asifabad,Telangana
TG_KUM_010,Sunitha Bai,APPROVED,0.8,19.4937,79.9093,Village_581,Kumuram Bheem Asifabad,Telangana
TG_KUM_011,Ramkali Kharia,PENDING,2.2,19.4921,79.4926,Village_937,Kumuram Bheem Asifabad,Telangana
TG_KUM_012,Manisha Koya,PENDING,1.6,19.356,78.8944,Village_361,Kumuram Bheem Asifabad,Telangana
TG_KUM_013,Chotu Sahariya,PENDING,1.7,19.5098,79.452,Village_307,Kumuram Bheem Asifabad,Telangana
TG_KUM_014,Guddu Munda,PENDING,2.6,19.4261,79.1329,Village_159,Kumuram Bheem Asifabad,Telangana
TG_MAH_001,Kalia Santhal,APPROVED,1.6,17.6627,79.8453,Village_621,Mahabubabad,Telangana
TG_MAH_002,Asha Ekka,PENDING,1.8,17.3294,79.8087,Village_689,Mahabubabad,Telangana
TG_MAH_003,Krishna Bhil,PENDING,1.3,17.4745,79.7794,Village_983,Mahabubabad,Telangana
TG_MAH_004,Kamli Pradhan,PENDING,1.2,17.9,80.0461,Village_223,Mahabubabad,Telangana
TG_MAH_005,Harish Baiga,PENDING,0.6,17.6297,80.1134,Village_278,Mahabubabad,Telangana
TG_MAH_006,Sunil Pradhan,PENDING,1.2,17.7727,79.9298,Village_556,Mahabubabad,Telangana
TG_MAH_007,Subhash Sahariya,APPROVED,1.3,17.8594,80.2429,Village_937,Mahabubabad,Telangana
TG_MAH_008,Babulal Korku,APPROVED,2.6,17.3528,79.8012,Village_386,Mahabubabad,Telangana
TG_MAH_009,Mohan Koya,PENDING,2.2,17.7043,79.954,Village_505,Mahabubabad,Telangana
TG_MAH_010,Sita Ekka,APPROVED,1.3,17.6384,79.6564,Village_788,Mahabubabad,Telangana
TG_MAH_001,Sonali Majhi,PENDING,2.2,16.7928,77.7741,Village_246,Mahabubnagar,Telangana
TG_MAH_002,Savitri Kondh,APPROVED,2.7,16.8854,78.0833,Village_759,Mahabubnagar,Telangana
TG_MAH_003,Nita Majhi,PENDING,1.4,16.8586,77.8032,Village_185,Mahabubnagar,Telangana
TG_MAH_004,Sunil Singh,APPROVED,0.5,16.7296,77.7892,Village_293,Mahabubnagar,Telangana
TG_MAH_005,Sarla Sahariya,APPROVED,0.8,16.9201,78.0766,Village_549,Mahabubnagar,Telangana
TG_MAH_006,Arjun Ekka,PENDING,1.1,16.7624,78.1503,Village_203,Mahabubnagar,Telangana
TG_MAH_007,Jayant Koya,PENDING,2.8,16.5153,77.7911,Village_109,Mahabubnagar,Telangana
TG_MAH_008,Babulal Ekka,PENDING,1.8,16.9242,77.9224,Village_681,Mahabubnagar,Telangana
TG_MAH_009,Anjali Koya,APPROVED,2.2,16.7576,78.1726,Village_844,Mahabubnagar,Telangana
TG_MAH_010,Chandan Pradhan,PENDING,2.4,16.8507,78.2862,Village_641,Mahabubnagar,Telangana
TG_MAH_011,Lopa Birhor,APPROVED,2.4,16.7617,77.6882,Village_215,Mahabubnagar,Telangana
TG_MAH_012,Radhika Birhor,APPROVED,3.0,16.9438,77.9777,Village_977,Mahabubnagar,Telangana
TG_MAH_013,Arjun Koya,APPROVED,1.9,16.8418,78.3136,Village_990,Mahabubnagar,Telangana
TG_MAN_001,Lakshmi Ho,APPROVED,1.8,18.8504,79.5831,Village_728,Mancherial,Telangana
TG_MAN_002,Lopa Oraon,APPROVED,1.6,19.1201,79.8028,Village_535,Mancherial,Telangana
TG_MAN_003,Ramkali Nayak,APPROVED,0.8,19.0104,79.1405,Village_298,Mancherial,Telangana
TG_MAN_004,Pratap Meena,APPROVED,2.8,18.7957,79.6195,Village_871,Mancherial,Telangana
TG_MAN_005,Nita Bai,APPROVED,2.7,19.0931,79.3375,Village_683,Mancherial,Telangana
TG_MAN_006,Anji Kharia,APPROVED,2.0,18.857,79.4701,Village_780,Mancherial,Telangana
TG_MAN_007,Shyam Meena,APPROVED,1.0,19.1317,79.7153,Village_918,Mancherial,Telangana
TG_MAN_008,Santosh Sahariya,PENDING,0.5,19.0229,79.5179,Village_441,Mancherial,Telangana
TG_MAN_009,Shanti Ekka,PENDING,2.4,19.1098,79.3735,Village_734,Mancherial,Telangana
TG_MAN_010,Nita Kondh,PENDING,2.3,19.1237,78.91,Village_857,Mancherial,Telangana
TG_MAN_011,Debu Santhal,APPROVED,0.7,18.8442,79.7632,Village_276,Mancherial,Telangana
TG_MED_001,Sita Meena,PENDING,2.5,17.9855,78.1271,Village_725,Medak,Telangana
TG_MED_002,Rathnam Ekka,APPROVED,1.4,17.8904,78.0076,Village_124,Medak,Telangana
TG_MED_003,Harish Singh,APPROVED,2.6,17.9435,78.109,Village_976,Medak,Telangana
TG_MED_004,Ram Bhil,PENDING,1.8,17.9443,78.417,Village_834,Medak,Telangana
TG_MED_005,Prakash Gond,PENDING,1.2,18.1028,78.1966,Village_947,Medak,Telangana
TG_MED_006,Sabita Naik,APPROVED,0.8,17.9344,78.1294,Village_462,Medak,Telangana
TG_MED_007,Mohan Birhor,PENDING,0.9,17.9148,78.1403,Village_756,Medak,Telangana
TG_MED_008,Rekha Korku,APPROVED,1.3,18.0964,78.5392,Village_926,Medak,Telangana
TG_MED_009,Biru Baiga,PENDING,1.2,18.094,78.2842,Village_107,Medak,Telangana
TG_MED_010,Narayan Oraon,PENDING,1.1,18.1262,78.3339,Village_280,Medak,Telangana
TG_MED_011,Veera Debbarma,APPROVED,2.9,17.9602,78.1721,Village_162,Medak,Telangana
TG_MED_012,Meena Lambada,PENDING,0.8,17.8648,78.2302,Village_498,Medak,Telangana
TG_MED_013,Sonali Oraon,APPROVED,2.1,17.9747,78.4561,Village_634,Medak,Telangana
TG_MED_014,Krishna Bai,PENDING,0.5,17.9872,78.2855,Village_765,Medak,Telangana
TG_MED_015,Lali Munda,APPROVED,1.6,17.9712,78.2593,Village_192,Medak,Telangana
TG_MED_016,Sarla Kharia,PENDING,1.9,17.9906,78.0393,Village_875,Medak,Telangana
TG_MED_017,Nita Singh,PENDING,0.9,17.8939,78.451,Village_207,Medak,Telangana
TG_MED_018,Reena Pradhan,PENDING,2.2,17.8341,78.13,Village_772,Medak,Telangana
TG_MED_001,Shyam Ho,APPROVED,0.9,17.4473,78.4247,Village_933,Medchal Malkajgiri,Telangana
TG_MED_002,Anitha Gond,APPROVED,2.4,17.5154,78.5165,Village_457,Medchal Malkajgiri,Telangana
TG_MED_003,Kishore Majhi,PENDING,1.7,17.3897,78.5944,Village_595,Medchal Malkajgiri,Telangana
TG_MED_004,Jayant Korku,PENDING,1.4,17.5088,78.6734,Village_262,Medchal Malkajgiri,Telangana
TG_MED_005,Rakesh Kharia,APPROVED,1.2,17.6065,78.5061,Village_706,Medchal Malkajgiri,Telangana
TG_MED_006,Durga Debbarma,PENDING,1.2,17.3706,78.564,Village_894,Medchal Malkajgiri,Telangana
TG_MED_007,Ramkali Birhor,APPROVED,0.7,17.4168,78.6971,Village_423,Medchal Malkajgiri,Telangana
TG_MED_008,Lakshmi Birhor,APPROVED,1.3,17.6203,78.4219,Village_882,Medchal Malkajgiri,Telangana
TG_MED_009,Shanti Nayak,PENDING,2.4,17.5429,78.3737,Village_612,Medchal Malkajgiri,Telangana
TG_MED_010,Meera Sahariya,APPROVED,3.0,17.5878,78.6413,Village_657,Medchal Malkajgiri,Telangana
TG_MED_011,Soma Santhal,APPROVED,2.0,17.4392,78.6195,Village_780,Medchal Malkajgiri,Telangana
TG_MED_012,Sunil Kondh,PENDING,2.0,17.4625,78.6901,Village_714,Medchal Malkajgiri,Telangana
TG_MED_013,Meera Debbarma,PENDING,2.0,17.544,78.4972,Village_653,Medchal Malkajgiri,Telangana
TG_MED_014,Harish Koya,APPROVED,2.1,17.4159,78.7006,Village_280,Medchal Malkajgiri,Telangana
TG_MED_015,Devraj Baiga,APPROVED,2.8,17.6252,78.4772,Village_854,Medchal Malkajgiri,Telangana
TG_NAG_001,Kiran Debbarma,PENDING,2.5,16.7099,78.617,Village_730,Nagarkurnool,Telangana
TG_NAG_002,Rinku Singh,PENDING,2.0,16.3771,78.951,Village_842,Nagarkurnool,Telangana
TG_NAG_003,Pinki Debbarma,PENDING,1.5,16.7939,78.5748,Village_196,Nagarkurnool,Telangana
TG_NAG_004,Kishore Kharia,PENDING,1.4,16.3069,78.2781,Village_817,Nagarkurnool,Telangana
TG_NAG_005,Shanti Baiga,PENDING,1.6,16.161,78.8779,Village_954,Nagarkurnool,Telangana
TG_NAG_006,Ramkali Naik,PENDING,0.6,16.3606,78.7568,Village_457,Nagarkurnool,Telangana
TG_NAG_007,Rekha Munda,APPROVED,1.7,16.1685,78.4001,Village_507,Nagarkurnool,Telangana
TG_NAG_008,Santi Sahariya,PENDING,2.3,16.0554,78.7288,Village_894,Nagarkurnool,Telangana
TG_NAG_009,Sarla Nayak,PENDING,1.6,16.2279,79.1066,Village_355,Nagarkurnool,Telangana
TG_NAG_010,Subhash Nayak,PENDING,2.0,16.6156,78.1771,Village_500,Nagarkurnool,Telangana
TG_NAG_011,Linga Ekka,PENDING,2.3,16.1852,78.6157,Village_895,Nagarkurnool,Telangana
TG_NAG_012,Gouranga Meena,PENDING,2.9,16.1398,78.825,Village_616,Nagarkurnool,Telangana
TG_NAG_013,Sita Ekka,APPROVED,0.8,16.2301,78.2247,Village_891,Nagarkurnool,Telangana
TG_NAG_014,Sita Nayak,APPROVED,2.6,16.0766,78.5799,Village_285,Nagarkurnool,Telangana
TG_NAG_015,Reena Oraon,PENDING,0.8,16.4086,78.2827,Village_365,Nagarkurnool,Telangana
TG_NAL_001,Sonali Santhal,PENDING,2.2,17.0431,79.3391,Village_204,Nalgonda,Telangana
TG_NAL_002,Gita Sahariya,PENDING,2.6,16.764,79.3889,Village_707,Nalgonda,Telangana
TG_NAL_003,Mallesh Munda,PENDING,0.7,16.9382,79.4621,Village_355,Nalgonda,Telangana
TG_NAL_004,Sunitha Bai,APPROVED,1.4,16.6883,79.564,Village_855,Nalgonda,Telangana
TG_NAL_005,Gopal Birhor,PENDING,2.0,16.4767,79.1881,Village_524,Nalgonda,Telangana
TG_NAL_006,Ram Pradhan,APPROVED,0.9,16.9262,78.873,Village_662,Nalgonda,Telangana
TG_NAL_007,Debu Koya,APPROVED,0.7,17.0524,79.5896,Village_526,Nalgonda,Telangana
TG_NAL_008,Kishore Ho,PENDING,1.0,16.4886,79.0361,Village_193,Nalgonda,Telangana
TG_NAL_009,Radha Naik,PENDING,2.2,17.3544,79.2641,Village_507,Nalgonda,Telangana
TG_NAL_010,Linga Kharia,PENDING,1.0,16.7,79.13,Village_446,Nalgonda,Telangana
TG_NAL_011,Pothuraju Naik,APPROVED,0.8,16.9275,78.8746,Village_477,Nalgonda,Telangana
TG_NAL_012,Jiten Meena,APPROVED,2.6,16.5302,78.9798,Village_863,Nalgonda,Telangana
TG_NAL_013,Devraj Gond,PENDING,1.8,16.6315,78.9248,Village_845,Nalgonda,Telangana
